,Category,NumberOfVotes,BookID,Hyperlink,Title,Rating,RatingCount,ReviewCount,Position,PositionAndTitle
202,Fiction,12291,41880044,https://www.goodreads.com/book/show/41880044-the-most-fun-we-ever-had,The Most Fun We Ever Had by Claire Lombardo,4.01,31927,4185,10,10 - The Most Fun We Ever Had by Claire Lombardo
204,Debut novel,4648,41880044,https://www.goodreads.com/book/show/41880044-the-most-fun-we-ever-had,The Most Fun We Ever Had by Claire Lombardo,4.01,31927,4185,13,13 - The Most Fun We Ever Had by Claire Lombardo
206,Mystery thriller,13804,39863405,https://www.goodreads.com/book/show/39863405-the-mother-in-law,The Mother-in-Law by Sally Hepworth,3.98,58021,6253,10,10 - The Mother-in-Law by Sally Hepworth
207,Historical fiction,16700,42283286,https://www.goodreads.com/book/show/42283286-summer-of-69,Summer of '69 by Elin Hilderbrand,3.97,56899,4990,10,10 - Summer of '69 by Elin Hilderbrand
208,Fantasy,14421,41893832,https://www.goodreads.com/book/show/41893832-middlegame,Middlegame by Seanan McGuire,4.07,10614,2308,10,10 - Middlegame by Seanan McGuire
209,Romance,13432,36117813,https://www.goodreads.com/book/show/36117813-the-girl-he-used-to-know,The Girl He Used to Know by Tracey Garvis Graves,3.97,24511,4550,10,10 - The Girl He Used to Know by Tracey Garvis Graves
210,Science fiction,8368,41824495,https://www.goodreads.com/book/show/41824495-fall-or-dodge-in-hell,"Fall, Or Dodge in Hell by Neal Stephenson",3.56,10629,1780,10,"10 - Fall, Or Dodge in Hell by Neal Stephenson"
211,Horror,4587,43506916,https://www.goodreads.com/book/show/43506916-a-cosmology-of-monsters,A Cosmology of Monsters by Shaun Hamill,3.86,3065,642,10,10 - A Cosmology of Monsters by Shaun Hamill
212,Humor,7314,44419612,https://www.goodreads.com/book/show/44419612-a-woman-first,A Woman First by Selina Meyer,3.66,759,151,10,10 - A Woman First by Selina Meyer
213,Nonfiction,11641,40776644,https://www.goodreads.com/book/show/40776644-the-moment-of-lift,The Moment of Lift by Melinda Gates,4.31,29653,3651,10,10 - The Moment of Lift by Melinda Gates
214,Memoir autobiography,9000,43263491,https://www.goodreads.com/book/show/43263491-toil-trouble,Toil & Trouble by Augusten Burroughs,3.99,3977,743,10,10 - Toil & Trouble by Augusten Burroughs
215,History biography,7711,41574287,https://www.goodreads.com/book/show/41574287-the-heartbeat-of-wounded-knee,The Heartbeat of Wounded Knee by David Treuer,4.19,1990,396,10,10 - The Heartbeat of Wounded Knee by David Treuer
216,Science technology,5890,43565381,https://www.goodreads.com/book/show/43565381-we-are-the-weather,We Are the Weather by Jonathan Safran Foer,3.73,6069,1081,10,10 - We Are the Weather by Jonathan Safran Foer
217,Food cookbooks,7635,41155069,https://www.goodreads.com/book/show/41155069-happiness-is-baking,Happiness Is Baking by Maida Heatter,4.03,223,46,10,10 - Happiness Is Baking by Maida Heatter
218,Graphic novels comics,8516,38812893,https://www.goodreads.com/book/show/38812893-paper-girls-vol-5,"Paper Girls, Vol. 5 by Brian K. Vaughan",4.22,7347,724,10,"10 - Paper Girls, Vol. 5 by Brian K. Vaughan"
219,Poetry,5777,43124132,https://www.goodreads.com/book/show/43124132-life-of-the-party,Life of the Party by Olivia Gatwood,4.29,1569,253,10,10 - Life of the Party by Olivia Gatwood
220,Young adult fiction,11979,42245770,https://www.goodreads.com/book/show/42245770-the-rest-of-the-story,The Rest of the Story by Sarah Dessen,4.08,16345,2322,10,10 - The Rest of the Story by Sarah Dessen
221,Young adult fantasy,14457,30075662,https://www.goodreads.com/book/show/30075662-aurora-rising,Aurora Rising by Amie Kaufman,4.17,22488,5476,10,10 - Aurora Rising by Amie Kaufman
222,Childrens,7336,41067826,https://www.goodreads.com/book/show/41067826-aru-shah-and-the-song-of-death,Aru Shah and the Song of Death by Roshani Chokshi,4.3,3557,574,10,10 - Aru Shah and the Song of Death by Roshani Chokshi
223,Picture,5713,41183554,https://www.goodreads.com/book/show/41183554-a-piglet-named-mercy,A Piglet Named Mercy by Kate DiCamillo,3.85,1341,267,10,10 - A Piglet Named Mercy by Kate DiCamillo
224,Fiction,6069,42431386,https://www.goodreads.com/book/show/42431386-the-bookish-life-of-nina-hill,The Bookish Life of Nina Hill by Abbi Waxman,3.84,39936,7253,11,11 - The Bookish Life of Nina Hill by Abbi Waxman
225,Mystery thriller,7245,44034500,https://www.goodreads.com/book/show/44034500-a-better-man,A Better Man by Louise Penny,4.33,26580,3434,11,11 - A Better Man by Louise Penny
226,Historical fiction,8368,40538657,https://www.goodreads.com/book/show/40538657-the-island-of-sea-women,The Island of Sea Women by Lisa See,4.25,36294,5322,11,11 - The Island of Sea Women by Lisa See
227,Romance,6287,50206920,https://www.goodreads.com/book/show/50206920-ayesha-at-last,Ayesha at Last by Uzma Jalaluddin,3.9,11740,2477,11,11 - Ayesha at Last by Uzma Jalaluddin
228,Science fiction,4029,42036965,https://www.goodreads.com/book/show/42036965-one-word-kill,One Word Kill by Mark  Lawrence,3.76,13947,1567,11,11 - One Word Kill by Mark  Lawrence
229,Horror,1974,43706714,https://www.goodreads.com/book/show/43706714-no-one-s-home,No One's Home by D.M. Pulley,3.93,2984,371,11,11 - No One's Home by D.M. Pulley
230,Humor,3124,45181834,https://www.goodreads.com/book/show/45181834-twas-the-nightshift-before-christmas,Twas the Nightshift before Christmas by Adam Kay,4.18,26640,1744,11,11 - Twas the Nightshift before Christmas by Adam Kay
231,Nonfiction,5075,38362811,https://www.goodreads.com/book/show/38362811-the-witches-are-coming,The Witches Are Coming by Lindy West,4.18,11981,1797,11,11 - The Witches Are Coming by Lindy West
232,Memoir autobiography,4379,44776548,https://www.goodreads.com/book/show/44776548-year-of-the-monkey,Year of the Monkey by Patti Smith,3.88,6533,762,11,11 - Year of the Monkey by Patti Smith
233,History biography,3065,41796203,https://www.goodreads.com/book/show/41796203-madame-fourcade-s-secret-war,Madame Fourcade's Secret War by Lynne Olson,4.23,3532,576,11,11 - Madame Fourcade's Secret War by Lynne Olson
234,Science technology,2899,39999461,https://www.goodreads.com/book/show/39999461-never-enough,Never Enough by Judith Grisel,4.07,1582,271,11,11 - Never Enough by Judith Grisel
235,Food cookbooks,3521,46131607,https://www.goodreads.com/book/show/46131607-forking-good,Forking Good by Valya Dudycz Lupescu,3.99,75,25,11,11 - Forking Good by Valya Dudycz Lupescu
236,Graphic novels comics,4163,39073378,https://www.goodreads.com/book/show/39073378-kid-gloves,Kid Gloves by Lucy Knisley,4.39,6161,1079,11,11 - Kid Gloves by Lucy Knisley
237,Poetry,2690,40611194,https://www.goodreads.com/book/show/40611194-magical-negro,Magical Negro by Morgan  Parker,4.31,1510,197,11,11 - Magical Negro by Morgan  Parker
238,Debut novel,5457,40024139,https://www.goodreads.com/book/show/40024139-serpent-dove,Serpent & Dove by Shelby Mahurin,4.14,38832,8019,11,11 - Serpent & Dove by Shelby Mahurin
240,Young adult fantasy,2482,40024139,https://www.goodreads.com/book/show/40024139-serpent-dove,Serpent & Dove by Shelby Mahurin,4.14,38832,8019,18,18 - Serpent & Dove by Shelby Mahurin
242,Young adult fiction,5815,37539001,https://www.goodreads.com/book/show/37539001-capturing-the-devil,Capturing the Devil by Kerri Maniscalco,4.29,9079,1764,11,11 - Capturing the Devil by Kerri Maniscalco
243,Young adult fantasy,7423,42771754,https://www.goodreads.com/book/show/42771754-supernova,Supernova by Marissa Meyer,4.42,17090,3185,11,11 - Supernova by Marissa Meyer
244,Childrens,3481,40206380,https://www.goodreads.com/book/show/40206380-the-bridge-home,The Bridge Home by Padma Venkatraman,4.31,4434,903,11,11 - The Bridge Home by Padma Venkatraman
245,Picture,2943,41954472,https://www.goodreads.com/book/show/41954472-pirates-don-t-go-to-kindergarten,Pirates Don't Go to Kindergarten! by Lisa     Robinson,4.13,867,166,11,11 - Pirates Don't Go to Kindergarten! by Lisa     Robinson
